Web ID,Region,Reported Date,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Information Source,Location Coordinates,Migration Route,URL,UNSD Geographical Grouping,Source Quality
53298,Sub-Saharan Africa,"December 06, 2019",2019,Dec,1,,1,,1,,,"Sickness and lack of access to medicines, Starvation, Dehydration, Sexual abuse","Kayes, Mali",Mixed Migration Monitoring Mechanism Initiative (4Mi),"-11.444687000000, 14.435103000000",,,Western Africa,2
53612,North Africa,"December 06, 2019",2019,Dec,1,,1,,,1,,"Sickness and lack of access to medicines, Starvation, Dehydration, Harsh weather/lack of adequate shelter","Tamanrasset, Algeria",Mixed Migration Monitoring Mechanism Initiative (4Mi),"22.787960000000, 5.527180000000",,,Northern Africa,2
53297,Sub-Saharan Africa,"December 06, 2019",2019,Dec,3,,3,,,3,1,Sickness and lack of access to medicines,"Tongomayel, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4Mi),"-1.432042000000, 14.077765000000",,,Western Africa,2
52981,Southeast Asia,"December 06, 2019",2019,Dec,2,,2,,1,1,2,"Sickness and lack of access to medicines, Starvation","Kelantan State, Malaysia",Mixed Migration Monitoring Mechanism Initiative (4Mi),"5.927607000000, 101.983267000000",,,,2
53611,North Africa,"December 06, 2019",2019,Dec,1,,1,,,1,1,"Starvation, Harsh weather/lack of adequate shelter","Ghadames, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"30.159700000000, 9.697910000000",,,Northern Africa,2
52980,Southeast Asia,"December 06, 2019",2019,Dec,4,,4,,2,2,2,"Sickness and lack of access to medicines, Excessive Physical Abuse","Bangkok, Thailand",Mixed Migration Monitoring Mechanism Initiative (4Mi),"13.777167000000, 100.791548000000",,,,2
53610,North Africa,"December 06, 2019",2019,Dec,1,,1,,,1,,"Starvation, Dehydration","Qatrun, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"24.934383000000, 14.633161000000",,,Northern Africa,2
52643,Central America,"December 05, 2019",2019,Dec,1,,1,,,1,,Fall from train,"Train tracks near Hermosillo, Sonora, Mexico","Milenio, El Imparcial","29.072983200000, -110.955929400000",,"http://bit.ly/2sT6cCh, http://bit.ly/2rtzmr8",Central America,3
52735,US-Mexico Border,"December 05, 2019",2019,Dec,1,,1,,,,,Unknown (skeletal remains),"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,"31.715376800000, -111.395201400000",Central America to US,http://www.humaneborders.info/,Northern America,5
52734,US-Mexico Border,"December 05, 2019",2019,Dec,1,,1,,,1,,Unknown (skeletal remains),"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,"32.057499000000, -111.666072500000",Central America to US,http://www.humaneborders.info/,Northern America,5
52733,US-Mexico Border,"December 05, 2019",2019,Dec,1,,1,,,1,,Unknown (skeletal remains),"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,"32.057499000000, -111.666072500000",Central America to US,http://www.humaneborders.info/,Northern America,5
53303,Sub-Saharan Africa,"December 05, 2019",2019,Dec,3,,3,,,3,1,,"Koro, Mali",Mixed Migration Monitoring Mechanism Initiative (4Mi),"-3.083854000000, 14.071406000000",,,Western Africa,2
53609,North Africa,"December 04, 2019",2019,Dec,1,,1,,,1,,"Sickness and lack of access to medicines, Dehydration, Harsh weather/lack of adequate shelter, Excessive Physical Abuse","Sabratha, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"38.120720000000, 13.307010000000",,,Northern Africa,2
53294,Sub-Saharan Africa,"December 04, 2019",2019,Dec,1,,1,,1,,,Sickness and lack of access to medicines,"Cotonou, Benin",Mixed Migration Monitoring Mechanism Initiative (4Mi),"2.387595000000, 6.369104000000",,,Western Africa,2
52638,Sub-Saharan Africa,"December 04, 2019",2019,Dec,70,,70,85,,,,Drowning,"Off the coast of Nouadhibou, Mauritania - boat departed from The Gambia",IOM Mauritania,"20.994842600000, -17.008374800000",Western Africa / Atlantic route to the Canary Islands,"http://bit.ly/2LpoJMV, http://bit.ly/34Y8lKO",Uncategorized,5
53291,Sub-Saharan Africa,"December 04, 2019",2019,Dec,1,,1,,1,,1,Sickness and lack of access to medicines,"Ougadougou, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4Mi),"-1.521050000000, 12.368721000000",,,Western Africa,2
52732,US-Mexico Border,"December 04, 2019",2019,Dec,1,,1,,,1,,Unknown,"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,"31.555053400000, -111.146022700000",Central America to US,http://www.humaneborders.info/,Northern America,5
53608,North Africa,"December 03, 2019",2019,Dec,1,,1,,,1,,,"Tazirbu, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"25.679266000000, 21.075643000000",,,Northern Africa,2
53290,Sub-Saharan Africa,"December 03, 2019",2019,Dec,1,,1,,,1,,"Sickness and lack of access to medicines, Suffocation","Kaolack, Senegal",Mixed Migration Monitoring Mechanism Initiative (4Mi),"-16.076174000000, 14.164412000000",,,Western Africa,2
53293,Sub-Saharan Africa,"December 02, 2019",2019,Dec,1,,1,,1,,,Sickness and lack of access to medicines,"Bamako, Mali",Mixed Migration Monitoring Mechanism Initiative (4Mi),"-7.995856000000, 12.617282000000",,,Western Africa,2
53607,Sub-Saharan Africa,"December 02, 2019",2019,Dec,1,,1,,,1,1,"Sickness and lack of access to medicines, Starvation, Excessive Physical Abuse","Agadez, Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),"16.973140000000, 7.989740000000",,,Western Africa,2
52637,US-Mexico Border,"December 02, 2019",2019,Dec,1,,1,,,1,,Drowning,"Río Bravo, near La Playita, Ejido Reynosa Díaz, Reynosa, Tamaulipas, Mexico","La Tarde, El Mañana","26.036051500000, -98.288571400000",Central America to US,"http://bit.ly/38ihiAW, http://bit.ly/2PeMeZV",Central America,3
52930,Sub-Saharan Africa,"December 01, 2019",2019,Dec,1,,1,,,,,Sickness and lack of access to medicine,"Niamey, Niger",IOM Niger,"13.511596300000, 2.125385400000",,,Western Africa,4
53289,Sub-Saharan Africa,"December 01, 2019",2019,Dec,2,,2,,1,1,1,,"Gao, Mali",Mixed Migration Monitoring Mechanism Initiative (4Mi),"-0.028555000000, 16.261959000000",,,Western Africa,2
52668,US-Mexico Border,"November 30, 2019",2019,Nov,1,,1,,1,,,Heart attack,"Recovered on a ranch in Brooks County, Texas, USA",Breitbart Texas,"27.145345721607, -98.231694302749",Central America to US,https://bit.ly/2MSdsFm,Northern America,1
52929,Sub-Saharan Africa,"November 30, 2019",2019,Nov,6,6,12,13,,,,Thirst,"Mao, Chad",IOM Chad,"14.131024700000, 15.318972600000",,,Western Africa,4
52820,Mediterranean,"November 29, 2019",2019,Nov,,70,70,,4,,10,Presumed drowning,Unspecified location in Maltese territorial waters,Alarm Phone,"34.733997112177, 14.773974825254",Central Mediterranean,"http://bit.ly/37H3dMq, http://bit.ly/3aSRxIA, http://bit.ly/2u53kTv",Uncategorized,4
52633,Mediterranean,"November 28, 2019",2019,Nov,,3,3,,,,,Presumed drowning,"Unspecified location off the coast of Libya (reported by survivors intercepted and disembarked at Alhamidya, Libya)",IOM Libya,"32.906561900000, 13.258396700000",Central Mediterranean,,Uncategorized,4
52636,Europe,"November 28, 2019",2019,Nov,2,,2,,,,,Vehicle  accident,"Ljubljana-Koper motorway, near the town of Vrhnika, Slovenia","Slovenian Police via IOM Slovenia, Total Slovenia News, L'Avenir, L'Orient-Le Jour","45.967034400000, 14.298533000000",Western Balkans,"http://bit.ly/2LqJ04q, https://bit.ly/2L59hoU, https://bit.ly/2rCDncq",Southern Europe,5
52731,US-Mexico Border,"November 27, 2019",2019,Nov,1,,1,,,,,Unknown (skeletal remains),"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,"32.057701900000, -112.143021500000",Central America to US,http://www.humaneborders.info/,Northern America,5
53606,North Africa,"November 27, 2019",2019,Nov,2,,2,,1,,1,"Sickness and lack of access to medicines, Dehydration","Kufra, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"23.848018000000, 21.993292000000",,,Northern Africa,2
52653,Middle East,"November 27, 2019",2019,Nov,26,,26,74,8,18,,Air strike,"Near Al-Raqw Market, Monabbih, Saada province, Yemen near border with Saudi Arabia","IOM Yemen, UN Humanitarian Coordinator in Yemen","17.245130865333, 43.239432134814",,https://reut.rs/36I6pXc,Western Asia,5
52635,Mediterranean,"November 26, 2019",2019,Nov,,73,73,,20,,3,Presumed drowning,"Unknown location in the Alboran Sea, between Morocco and Spain (boat departed from Boudinar, Morocco)","Caminando Fronteras, Nuovi Desaparecidos","36.214401400000, -3.419552700000",Western Mediterranean,"http://bit.ly/380y8Uz, http://bit.ly/2OEuFnc, http://bit.ly/2DyJod3",Uncategorized,4
53288,Sub-Saharan Africa,"November 26, 2019",2019,Nov,3,,3,,,3,3,Vehicle Accident,"Bamako, Mali",Mixed Migration Monitoring Mechanism Initiative (4Mi),"-7.995856000000, 12.617282000000",,,Western Africa,2
52730,US-Mexico Border,"November 26, 2019",2019,Nov,1,,1,,,1,,Unknown (skeletal remains),"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,"32.291142400000, -111.377621400000",Central America to US,http://www.humaneborders.info/,Northern America,5
52729,US-Mexico Border,"November 26, 2019",2019,Nov,1,,1,,,,,Unknown (skeletal remains),"Pima County jurisdiction, Arizona, USA",Pima County Office of the Medical Examiner,"32.291495500000, -111.363672300000",Central America to US,http://www.humaneborders.info/,Northern America,5
52630,Mediterranean,"November 26, 2019",2019,Nov,4,19,23,58,,,,Drowning,"30 miles off the coast of Melilla, Spain",Caminando Fronteras,"35.292869500000, -2.925263900000",Western Mediterranean,"http://bit.ly/2XRlNgN, http://bit.ly/2KZKjqV, http://bit.ly/2R4ObKW",Uncategorized,4
53605,North Africa,"November 26, 2019",2019,Nov,1,,1,,,1,,Sickness and lack of access to medicines,"Unspecified location in the desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"23.649993000000, 14.543594000000",,,Northern Africa,2
53603,North Africa,"November 25, 2019",2019,Nov,2,,2,,2,,,Excessive Physical Abuse,"Sabha, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"27.022490000000, 14.440990000000",,,Northern Africa,2
53602,Sub-Saharan Africa,"November 25, 2019",2019,Nov,1,,1,,,1,,Sickness and lack of access to medicines,"Dao, Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),"21.706642000000, 13.773611000000",,,Western Africa,2
53286,Sub-Saharan Africa,"November 25, 2019",2019,Nov,2,,2,,,1,1,Sickness and lack of access to medicines,"Sevare, Mali",Mixed Migration Monitoring Mechanism Initiative (4Mi),"-4.095712000000, 14.522374000000",,,Western Africa,2
53601,North Africa,"November 25, 2019",2019,Nov,1,,1,,,1,,Sickness and lack of access to medicines,"Unspecified location in the desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"23.649993000000, 14.543594000000",,,Northern Africa,2
53285,Sub-Saharan Africa,"November 25, 2019",2019,Nov,1,,1,,,1,,,"Ndjamena, Chad",Mixed Migration Monitoring Mechanism Initiative (4Mi),"15.056086000000, 12.128946000000",,,,2
52648,Central America,"November 25, 2019",2019,Nov,1,,1,,,1,,Suicide,Unspecified location on the Mexican side of the Río Bravo,HCH Honduras,"29.323296300000, -100.951418700000",,https://hch.tv/2019/11/26/hallan-ahorcado-a-migrante-hondureno-a-orillas-del-rio-bravo/,Central America,1
53284,Sub-Saharan Africa,"November 25, 2019",2019,Nov,1,,1,,,1,,Vehicle Accident,"Kaya, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4Mi),"-1.086697000000, 13.089834000000",,,Western Africa,2
53604,Sub-Saharan Africa,"November 25, 2019",2019,Nov,2,,2,,,2,,Suffocation,"Garin Kouka, Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),"12.959020000000, 3.512500000000",,,Western Africa,2
52780,Central America,"November 24, 2019",2019,Nov,1,,1,,,1,,Hit by train,"Near Quilá, Culiacán, Sinaloa, Mexico",Sinaloa Press,"24.439510500000, -107.211545400000",,https://bit.ly/2FBc9GJ,Central America,1
52979,Southeast Asia,"November 24, 2019",2019,Nov,1,,1,,,1,1,"Sickness and lack of access to medicine, Starvation","Yoma Mountains, Myanmar",Mixed Migration Monitoring Mechanism Initiative (4Mi),"18.913665000000, 94.694799000000",,,,2
53600,North Africa,"November 24, 2019",2019,Nov,1,,1,,1,,,Vehicle Accident,"Unspecified location in desert near Tijeri, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"23.256925000000, 14.137099000000",,,Northern Africa,2
53599,North Africa,"November 24, 2019",2019,Nov,2,,2,,,2,,Vehicle Accident,"Tijeri, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"25.311630000000, 85.017390000000",,,Northern Africa,2
52928,Sub-Saharan Africa,"November 24, 2019",2019,Nov,1,,1,,,,,Sickness and lack of access to medicine,"Agadez, Niger",IOM Niger,"16.974168900000, 7.986535000000",,,Western Africa,4
52629,Central America,"November 24, 2019",2019,Nov,1,,1,,,1,,Drowning,"Río Bravo, near la Casita Blanca, Gustavo Díaz Ordaz, Tamaulipas, Mexico","Hoy Tamaulipas, Vox Pópuli","26.236499900000, -98.604245400000",,"https://t1p.de/gywa, https://t1p.de/hpcc",Central America,3
53597,North Africa,"November 23, 2019",2019,Nov,1,,1,,,1,,Fall from vehicle,"Unspecified location in desert between Sabha and Tripoli, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"27.960663000000, 14.307556000000",,,Northern Africa,2
52628,Europe,"November 23, 2019",2019,Nov,1,,1,,,1,,Unknown,"Remains recovered in Mega Dereio, Evros region, Greece",e-evros.gr,"41.244376100000, 26.135943100000",,http://bit.ly/2OSh1vC,Southern Europe,1
53596,North Africa,"November 23, 2019",2019,Nov,1,,1,,,1,,Sickness and lack of access to medicines,"Tripoli, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"32.895340000000, 13.181050000000",,,Northern Africa,2
52978,South Asia,"November 23, 2019",2019,Nov,4,,4,,2,2,2,"Starvation, Harsh weather/lack of adequate shelter","Chittagong Division, Bangladesh",Mixed Migration Monitoring Mechanism Initiative (4Mi),"21.519927000000, 92.281711000000",,,Southern Asia,2
52634,US-Mexico Border,"November 23, 2019",2019,Nov,1,,1,,,1,,Unknown,Skeletal remains recovered on a Texas ranch about 80 miles from the US- Mexican border,BREITBART,"31.967591900000, -99.901641400000",Central America to US,https://bit.ly/35W2eqt,Northern America,1
53595,North Africa,"November 23, 2019",2019,Nov,1,,1,,,1,,"Sickness and lack of access to medicines, Starvation","Bani Walid, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),"31.764020000000, 14.035110000000",,,Northern Africa,2
52626,Mediterranean,"November 23, 2019",2019,Nov,,13,13,47,,,,Drowning,"Unspecified location off the coast of Zuwara, Libya",IOM Libya,"32.940037500000, 12.082105100000",Central Mediterranean,,Uncategorized,4
